country,source_group,source_type,plant_type,commission_year,lifetime_years,load_factor,net_efficiency,construction_cost_usd_per_kw,contingency_usd_per_kw,om_variable_usd_per_mwh,om_fixed_usd_per_kw_year,fuel,fuel_cost_usd_per_mwh,fuel_cost_unit,emission_factor_tco2_per_mwh_fuel,ccs_efficiency
Germany,Low carbon,Hydro,Run of river (>= 5 MW) (24.5 MW),2025,80.0,0.65,0.85,3.0,96.77,1.33,40.816,naturEnergy,0.0,MWh,0.0,0.0
Netherlands,Low carbon,Wind,Wind onshore (>= 1 MW) (50.0 MW),2025,25.0,0.481735,1.0,1250.32,59.54,12.158,12.984,naturEnergy,0.0,MWh,0.0,0.0
Netherlands,Low carbon,Solar,Solar PV (commercial) (0.20 MW),2025,25.0,0.1375,1.0,845.89,40.28,1.9,26.854,naturEnergy,0.0,MWh,0.0,0.0
Netherlands,Low carbon,Solar,Solar PV (utility scale) (8.0 MW),2025,25.0,0.14125,1.0,807.38,38.45,2.243,21.247,naturEnergy,0.0,MWh,0.0,0.0
Netherlands,Low carbon,Solar,Solar PV (floating) (8.0 MW),2025,25.0,0.14125,1.0,860.13,40.96,2.243,24.294,naturEnergy,0.0,MWh,0.0,0.0
Romania,,CHP,"Pulverised, lignite (CHP) (2900 MW)",2025,40.0,0.5,0.34,1014.81,82.72,65.46,282.153,Lignite,4.0,MWh,0.3636,0.0
Romania,Fossil fuel,Gas,Gas (CCGT) (750 MW),2025,30.0,0.85,0.58,253.7,2.51,25.37,155.604,Gas,27.297,MWh,0.20196,0.0
Romania,,CHP,"Gas (OCGT/int. comb., CHP) (195 MW)",2025,30.0,0.9,0.9,329.81,2.52,3.5,65.052,Gas,27.297,MWh,0.20196,0.0
Mexico,Fossil fuel,Gas,Gas (CCGT) (835 MW),2025,30.0,0.85,0.578,466.32,22.21,0.225,39.334,Gas,10.919,MWh,0.20196,0.0
Mexico,Fossil fuel,Gas,Gas (CCGT) (785 MW),2025,30.0,0.85,0.597,667.33,31.78,0.225,40.97,Gas,10.919,MWh,0.20196,0.0
Mexico,Fossil fuel,Gas,Gas (CCGT) (503 MW),2025,30.0,0.85,0.505,669.39,31.88,0.225,37.659,Gas,10.919,MWh,0.20196,0.0
Denmark,Low carbon,Solar,Solar PV (utility scale) (8.0 MW),2025,25.0,0.179116,1.0,623.2,29.68,0.0,11.568,naturEnergy,0.0,MWh,0.0,0.0
France,Low carbon,Nuclear,LTO (10 years) (1000 MW),2025,10.0,0.85,0.33,629.0,29.95,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
United States of America,Low carbon,Nuclear,LTO (10 years) (1000 MW),2025,10.0,0.85,0.33,391.0,18.62,1.5,128.0,Uranium,0.0,MWh,0.0,0.0
Sweden,Low carbon,Nuclear,LTO (10 years) (1000 MW),2025,10.0,0.85,0.33,444.0,21.14,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
Switzerland,Low carbon,Nuclear,LTO (10 years) (1000 MW),2025,10.0,0.85,0.33,550.0,26.19,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
France,Low carbon,Nuclear,LTO (20 years) (1000 MW),2025,20.0,0.85,0.33,629.0,29.95,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
United States of America,Low carbon,Nuclear,LTO (20 years) (1000 MW),2025,20.0,0.85,0.33,391.0,18.62,1.5,128.0,Uranium,0.0,MWh,0.0,0.0
Sweden,Low carbon,Nuclear,LTO (20 years) (1000 MW),2025,20.0,0.85,0.33,444.0,21.14,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
Switzerland,Low carbon,Nuclear,LTO (20 years) (1000 MW),2025,20.0,0.85,0.33,550.0,26.19,1.5,85.0,Uranium,0.0,MWh,0.0,0.0
China,Low carbon,Nuclear,Nuclear (950 MW),2025,60.0,0.85,0.33,2500.0,326.09,15.0,85.0,Uranium,0.0,MWh,0.0,0.0
China,Fossil fuel,Coal,Ultra-supercritical (347 MW),2025,40.0,0.85,0.45,800.0,38.1,10.0,37.0,Bituminous,12.611,MWh,0.34056,0.0
China,Fossil fuel,Gas,Gas (CCGT) (475 MW),2025,30.0,0.85,0.58,560.0,26.67,10.0,26.0,Gas,31.05,MWh,0.20196,0.0
China,Low carbon,Wind,Wind onshore (>= 1 MW) (50.0 MW),2025,25.0,0.2562,1.0,1173.6,55.89,13.18,0.0,naturEnergy,0.0,MWh,0.0,0.0
China,Low carbon,Wind,Wind offshore (50.0 MW),2025,25.0,0.3541,1.0,2264.9,107.85,18.68,0.0,naturEnergy,0.0,MWh,0.0,0.0
China,Low carbon,Solar,Solar PV (utility scale) (20.0 MW),2025,25.0,0.1761,1.0,730.42,34.78,8.02,0.0,naturEnergy,0.0,MWh,0.0,0.0
India,Low carbon,Nuclear,LWR (950 MW),2025,60.0,0.85,0.33,2777.87,362.33,1.5,29.241,Uranium,0.0,MWh,0.0,0.0
India,Fossil fuel,Coal,Ultra-supercritical (pithead) (400 MW),2025,40.0,0.85,0.45,1147.7,54.65,5.0,26.317,Bituminous,11.895,MWh,0.34056,0.0
India,Fossil fuel,Coal,Ultra-supercritical (load centered) (400 MW),2025,40.0,0.85,0.45,1111.15,52.91,35.118,26.317,Bituminous,11.895,MWh,0.34056,0.0
India,Low carbon,Wind,Wind onshore (>= 1 MW) (65.0 MW),2025,25.0,0.2692,1.0,877.22,41.77,0.0,8.772,naturEnergy,0.0,MWh,0.0,0.0
India,Low carbon,Solar,Solar PV (utility scale) (35.0 MW),2025,25.0,0.2031,1.0,628.67,29.94,0.0,6.287,naturEnergy,0.0,MWh,0.0,0.0
India,Low carbon,Hydro,Hydro reservoir (>= 5 MW) (175 MW),2025,80.0,0.6,0.9,2448.91,116.61,0.0,61.223,naturEnergy,0.0,MWh,0.0,0.0
India,Low carbon,Bio,Biomass (30.0 MW),2025,40.0,0.85,0.45,833.36,39.68,0.0,16.667,Biomass,47.809,MWh,0.0,0.0
Brazil,Low carbon,Bio,Biomass (25.0 MW),2025,40.0,0.3,0.45,1094.74,52.13,0.0,49.263,Biomass,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.471342,1.0,1952.14,92.96,0.0,84.394,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.459326,1.0,1958.12,93.24,0.0,86.209,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (median case) (600 MW),2025,25.0,0.462759,1.0,2059.97,98.09,0.0,87.75,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.460654,1.0,2151.0,102.43,0.0,88.567,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.453231,1.0,2188.96,104.24,0.0,91.01,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.38912,1.0,2209.23,105.2,0.0,89.725,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.300607,1.0,2411.03,114.81,0.0,85.744,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.526021,1.0,2410.37,114.78,0.0,65.002,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.513163,1.0,2419.51,115.21,0.0,65.737,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.504069,1.0,2486.07,118.38,0.0,68.4,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.497248,1.0,2576.91,122.71,0.0,74.014,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.468505,1.0,2604.49,124.02,0.0,78.736,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.373609,1.0,2607.31,124.16,0.0,80.705,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind offshore (600 MW),2025,25.0,0.307081,1.0,2864.24,136.39,0.0,72.857,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.533458,1.0,1429.94,68.09,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.485526,1.0,1338.4,63.73,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.468561,1.0,1323.14,63.01,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (median case) (100 MW),2025,25.0,0.453082,1.0,1319.2,62.82,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.434729,1.0,1341.52,63.88,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.409164,1.0,1522.9,72.52,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.371128,1.0,1614.81,76.9,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.328582,1.0,1967.52,93.69,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.281915,1.0,2180.27,103.82,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Wind,Wind onshore (>= 1 MW) (100 MW),2025,25.0,0.178289,1.0,2329.47,110.93,0.0,40.723,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (utility scale) (100 MW),2025,25.0,0.228831,1.0,1071.68,51.03,0.0,12.824,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (utility scale) (100 MW),2025,25.0,0.263687,1.0,1071.68,51.03,0.0,12.824,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (utility scale) (median case) (100 MW),2025,25.0,0.284224,1.0,1071.68,51.03,0.0,12.824,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (utility scale) (100 MW),2025,25.0,0.330408,1.0,1071.68,51.03,0.0,12.824,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (utility scale) (100 MW),2025,25.0,0.363584,1.0,1071.68,51.03,0.0,12.824,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (commercial) (0.30 MW),2025,25.0,0.130301,1.0,1356.67,64.6,0.0,9.964,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (commercial) (0.30 MW),2025,25.0,0.151046,1.0,1356.67,64.6,0.0,9.964,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (commercial) (median case) (0.30 MW),2025,25.0,0.161111,1.0,1356.67,64.6,0.0,9.964,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (commercial) (0.30 MW),2025,25.0,0.188272,1.0,1356.67,64.6,0.0,9.964,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (commercial) (0.30 MW),2025,25.0,0.203762,1.0,1356.67,64.6,0.0,9.964,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (residential) (0.005 MW),2025,25.0,0.135019,1.0,1884.45,89.74,0.0,14.133,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (residential) (0.005 MW),2025,25.0,0.155889,1.0,1884.45,89.74,0.0,14.133,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (residential) (median case) (0.005 MW),2025,25.0,0.166831,1.0,1884.45,89.74,0.0,14.133,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (residential) (0.005 MW),2025,25.0,0.189965,1.0,2596.57,123.65,0.0,19.474,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar PV (residential) (0.005 MW),2025,25.0,0.20751,1.0,2596.57,123.65,0.0,19.474,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar thermal (CSP) (100 MW),2025,25.0,0.504,1.0,6474.8,308.32,0.0,67.612,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar thermal (CSP) (100 MW),2025,25.0,0.612,1.0,6474.8,308.32,0.0,67.612,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Solar,Solar thermal (CSP) (median case) (100 MW),2025,25.0,0.638,1.0,6474.8,308.32,0.0,67.612,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Geothermal,Geothermal (30.0 MW),2025,40.0,0.9,1.0,4119.75,196.18,0.0,131.107,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Geothermal,Geothermal (25.0 MW),2025,40.0,0.8,1.0,5537.83,263.71,0.0,176.508,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (< 5 MW) (4.8 MW),2025,80.0,0.617276,1.0,6383.39,303.97,0.0,120.253,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (>= 5 MW) (82.2 MW),2025,80.0,0.636562,1.0,5810.1,276.67,0.0,33.087,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (< 5 MW) (4.2 MW),2025,80.0,0.597169,1.0,4275.09,203.58,0.0,127.726,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (>= 5 MW) (median case) (44.7 MW),2025,80.0,0.59783,1.0,4030.66,191.94,0.0,43.628,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (< 5 MW) (3.7 MW),2025,80.0,0.656435,1.0,7484.3,356.4,0.0,134.55,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (>= 5 MW) (44.1 MW),2025,80.0,0.661947,1.0,6681.42,318.16,0.0,43.874,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Low carbon,Hydro,Run of river (>= 5 MW) (median case) (94.0 MW),2025,80.0,0.664552,1.0,5891.15,280.53,0.0,31.139,naturEnergy,0.0,MWh,0.0,0.0
