country,source_group,source_type,plant_type,commission_year,lifetime_years,load_factor,net_efficiency,construction_cost_usd_per_kw,contingency_usd_per_kw,om_variable_usd_per_mwh,om_fixed_usd_per_kw_year,fuel,fuel_cost_usd_per_mwh,fuel_cost_unit,emission_factor_tco2_per_mwh_fuel,ccs_efficiency
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.69 MW),2025,80.0,0.554564,1.0,4410.77,0.0,0.0,60.596,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.19 MW),2025,80.0,0.554564,1.0,5503.03,0.0,0.0,104.286,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.015 MW),2025,80.0,0.554322,1.0,6509.67,0.0,0.0,119.655,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Geothermal,Geothermal (39.6 MW),2025,40.0,0.757877,1.0,3850.89,0.0,0.0,119.218,naturEnergy,0.0,MWh,0.0,0.0
Italy,Fossil fuel,Gas,Gas (CCGT) (790 MW),2025,30.0,0.85,0.6,590.19,28.1,3.5,26.0,Gas,27.297,MWh,0.20196,0.0
Italy,Fossil fuel,Gas,Gas (OCGT/int. comb.) (130 MW),2025,30.0,0.3,0.369,324.6,15.46,3.5,20.0,Gas,27.297,MWh,0.20196,0.0
Italy,Low carbon,Wind,Wind onshore (>= 1 MW) (1.0 MW),2025,25.0,0.38825,1.0,3021.77,69.2,0.0,49.522,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.90 MW),2025,25.0,0.480914,1.0,2726.67,69.03,0.0,64.734,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.80 MW),2025,25.0,0.316699,1.0,1782.37,68.12,0.0,54.619,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.90 MW),2025,25.0,0.433996,1.0,2785.69,69.07,0.0,59.34,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (>= 1 MW) (10.0 MW),2025,25.0,0.371829,1.0,1429.0,0.0,0.0,48.551,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.50 MW),2025,25.0,0.334294,1.0,2658.61,0.0,0.486,58.261,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.10 MW),2025,25.0,0.307902,1.0,3323.27,0.0,0.486,77.681,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.060 MW),2025,25.0,0.334294,1.0,4616.02,0.0,0.486,113.609,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Wind,Wind onshore (< 1 MW) (0.020 MW),2025,25.0,0.321391,1.0,5538.78,0.0,0.486,116.522,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Solar,Solar PV (residential) (0.004 MW),2025,25.0,0.195655,1.0,1845.83,0.0,0.0,270.675,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Solar,Solar PV (commercial) (0.083 MW),2025,25.0,0.195655,1.0,1305.53,0.0,0.0,34.633,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Solar,Solar PV (commercial) (0.42 MW),2025,25.0,0.195655,1.0,1210.16,0.0,0.0,30.012,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Solar,Solar PV (utility scale) (0.83 MW),2025,25.0,0.265267,1.0,836.2,0.0,0.0,61.435,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Hydro reservoir (>= 5 MW) (15.0 MW),2025,80.0,0.3786,0.885,3107.8,0.0,0.0,60.915,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (>= 5 MW) (5.0 MW),2025,80.0,0.369345,0.85,3051.66,0.0,0.0,89.067,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.10 MW),2025,80.0,0.342,1.0,3013.09,0.0,0.0,50.957,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.25 MW),2025,80.0,0.194677,1.0,1591.84,0.0,0.0,37.664,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.50 MW),2025,80.0,0.204148,1.0,1070.09,0.0,0.0,23.263,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.25 MW),2025,80.0,0.147323,1.0,3646.73,0.0,0.0,37.664,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.50 MW),2025,80.0,0.151532,1.0,3781.88,0.0,0.0,23.263,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.25 MW),2025,80.0,0.084185,1.0,3266.22,0.0,0.0,37.664,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (0.50 MW),2025,80.0,0.219932,1.0,2398.29,0.0,0.0,23.263,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Hydro,Run of river (< 5 MW) (1.0 MW),2025,80.0,0.145218,1.0,955.99,0.0,0.0,11.078,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Geothermal,Geothermal (15.0 MW),2025,40.0,0.856,1.0,7132.13,0.0,0.0,159.351,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Geothermal,Geothermal (10.0 MW),2025,40.0,0.856,1.0,9799.43,0.0,0.0,172.63,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Geothermal,Geothermal (5.0 MW),2025,40.0,0.856,1.0,10959.12,0.0,0.0,190.336,naturEnergy,0.0,MWh,0.0,0.0
Italy,Low carbon,Bio,Biomass (0.45 MW),2025,40.0,0.894461,0.36,4605.19,0.0,0.0,210.711,Biomass,0.0,MWh,0.0,0.0
Italy,Low carbon,Bio,Biomass (0.42 MW),2025,40.0,0.885886,0.098,6545.46,0.0,0.0,457.864,Biomass,15.623,MWh,0.0,0.0
Italy,,CHP,Biomass (CHP) (0.42 MW),2025,40.0,0.885886,0.413,6545.46,0.0,0.0,457.864,Biomass,15.623,MWh,0.0,0.0
"Korea, Republic of",Low carbon,Nuclear,ALWR (1377 MW),2025,60.0,0.85,0.3648,2157.06,30.55,1.225,128.155,Uranium,0.0,MWh,0.0,0.0
"Korea, Republic of",Fossil fuel,Coal,Ultra-supercritical (954 MW),2025,40.0,0.85,0.433,1150.71,29.19,5.0,49.315,Bituminous,11.895,MWh,0.34056,0.0
"Korea, Republic of",Fossil fuel,Gas,Gas (CCGT) (982 MW),2025,30.0,0.85,0.586,838.4,21.03,3.5,36.58,Gas,34.121,MWh,0.20196,0.0
"Korea, Republic of",Fossil fuel,Gas,Gas (CCGT) (491 MW),2025,30.0,0.85,0.561,1107.37,28.8,3.5,58.508,Gas,34.121,MWh,0.20196,0.0
"Korea, Republic of",Low carbon,Solar,Solar PV (commercial) (0.099 MW),2025,25.0,0.15,1.0,1240.09,59.05,0.0,16.248,naturEnergy,0.0,MWh,0.0,0.0
"Korea, Republic of",Low carbon,Solar,Solar PV (utility scale) (3.0 MW),2025,25.0,0.15,1.0,1225.79,58.37,0.0,15.515,naturEnergy,0.0,MWh,0.0,0.0
"Korea, Republic of",Low carbon,Wind,Wind onshore (>= 1 MW) (14.9 MW),2025,25.0,0.23,1.0,1981.7,94.37,0.0,56.867,naturEnergy,0.0,MWh,0.0,0.0
"Korea, Republic of",Low carbon,Wind,Wind offshore (99.0 MW),2025,25.0,0.3,1.0,3519.82,167.61,0.0,118.513,naturEnergy,0.0,MWh,0.0,0.0
Norway,Low carbon,Wind,Wind onshore (>= 1 MW) (130 MW),2025,25.0,0.44,1.0,931.94,44.38,9.837,0.0,naturEnergy,0.0,MWh,0.0,0.0
Norway,Low carbon,Solar,Solar PV (commercial) (0.30 MW),2025,25.0,0.10274,1.0,983.71,46.84,0.0,36.0,naturEnergy,0.0,MWh,0.0,0.0
Norway,Low carbon,Hydro,Hydro reservoir (>= 5 MW) (30.0 MW),2025,80.0,0.52,0.9,1899.42,90.45,4.919,0.0,naturEnergy,0.0,MWh,0.0,0.0
Norway,Low carbon,Hydro,Run of river (< 5 MW) (3.0 MW),2025,80.0,0.47,1.0,1964.09,93.53,8.607,0.0,naturEnergy,0.0,MWh,0.0,0.0
Norway,Low carbon,Fuel cell,Fuel cell (1.0 MW),2025,20.0,0.85,0.45,3529.05,168.05,1.0,5.164,Hydrogen,50.0,MWh,0.0,0.0
Russian Federation,Low carbon,Nuclear,Gen III projects (1122 MW),2025,60.0,0.85,0.375,2270.85,238.56,2.121,59.772,Uranium,0.0,MWh,0.0,0.0
Russian Federation,Low carbon,Wind,Wind onshore (>= 1 MW) (60.0 MW),2025,25.0,0.27,1.0,1598.28,76.11,0.0,32.695,naturEnergy,0.0,MWh,0.0,0.0
Russian Federation,Low carbon,Wind,Wind onshore (>= 1 MW) (280 MW),2025,25.0,0.27,1.0,1471.96,70.09,0.0,31.941,naturEnergy,0.0,MWh,0.0,0.0
United States of America,Fossil fuel,Coal,Pulverised (650 MW),2025,40.0,0.85,0.401,2477.92,242.66,7.863,68.101,Bituminous,7.309,MWh,0.34056,0.0
United States of America,,Coal,Pulverised (CCUS) (650 MW),2025,40.0,0.85,0.311,4604.0,571.89,14.477,118.956,Bituminous,7.309,MWh,0.34056,0.9
United States of America,Fossil fuel,Coal,Pulverised (140 MW),2025,40.0,0.85,0.359,3447.0,337.39,8.546,102.035,Bituminous,7.309,MWh,0.34056,0.0
United States of America,Fossil fuel,Coal,Pulverised (138 MW),2025,40.0,0.85,0.362,4382.0,428.55,11.741,139.459,Bituminous,7.309,MWh,0.34056,0.0
United States of America,Fossil fuel,Coal,Supercritical pulverised (650 MW),2025,40.0,0.85,0.4175,2582.0,252.61,7.723,70.57,Bituminous,7.309,MWh,0.34056,0.0
United States of America,,Coal,Supercritical pulverised (CCUS) (650 MW),2025,40.0,0.85,0.32655,4654.0,573.42,14.012,120.175,Bituminous,7.309,MWh,0.34056,0.9
United States of America,Fossil fuel,Coal,Coal (641 MW),2025,40.0,0.85,0.425824,4157.0,562.11,12.562,126.133,Bituminous,7.309,MWh,0.34056,0.0
United States of America,,Coal,Coal (CCUS) (499 MW),2025,40.0,0.85,0.313421,5991.0,842.97,18.854,179.495,Bituminous,7.309,MWh,0.34056,0.9
United States of America,Fossil fuel,Gas,Gas (CCGT) (727 MW),2025,30.0,0.85,0.594102,951.96,96.19,1.705,26.792,Gas,10.919,MWh,0.20196,0.0
United States of America,,Gas,"Gas (CCGT, CCUS) (646 MW)",2025,30.0,0.85,0.476593,2412.0,349.7,5.634,63.911,Gas,10.919,MWh,0.20196,0.9
United States of America,Low carbon,Nuclear,LWR (1100 MW),2025,60.0,0.85,0.33,4250.0,554.35,1.8,73.0,Uranium,0.0,MWh,0.0,0.0
Finland,Low carbon,Wind,Wind onshore (>= 1 MW) (30.0 MW),2025,25.0,0.399543,1.0,1534.49,73.07,4.131,9.836,naturEnergy,0.0,MWh,0.0,0.0
Japan,Low carbon,Nuclear,ALWR (1152 MW),2025,60.0,0.85,0.33,3962.82,516.89,0.0,192.378,Uranium,0.0,MWh,0.0,0.0
Japan,Fossil fuel,Coal,Ultra-supercritical (749 MW),2025,40.0,0.85,0.414004,2418.82,115.18,6.387,96.212,Bituminous,11.895,MWh,0.34056,0.0
Japan,Fossil fuel,Gas,Gas (CCGT) (1372 MW),2025,30.0,0.85,0.558949,1108.91,52.81,3.171,33.738,Gas,34.121,MWh,0.20196,0.0
Japan,Low carbon,Wind,Wind onshore (>= 1 MW) (20.0 MW),2025,25.0,0.2,1.0,2281.84,108.66,0.0,48.14,naturEnergy,0.0,MWh,0.0,0.0
