country,year,grid_storage_battery_capacity_gw,global_share_pct,yoy_growth_pct
China,2023,27.1,48.6,249.1
U.S.,2023,15.8,28.3,70.0
United Kingdom,2023,3.6,6.5,54.2
Australia,2023,1.8,3.2,95.1
Germany,2023,1.7,3.1,27.9
South Korea,2023,1.0,1.8,
Japan,2023,0.6,1.0,76.7
Ireland,2023,0.4,0.8,27.6
Canada,2023,0.4,0.7,426.0
South Africa,2023,0.3,0.5,
