___February_2026_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        0.2403
 162   1  143.00  -89.00        0.2403
 163   1  145.00  -89.00        0.2403
 164   1  147.00  -89.00        0.2403
 165   1  149.00  -89.00        0.2403
 166   1  151.00  -89.00        0.2403
 167   1  153.00  -89.00        0.2403
 168   1  155.00  -89.00        0.2403
 169   1  157.00  -89.00        0.2403
 170   1  159.00  -89.00        0.2403
 171   1  161.00  -89.00        0.2403
 172   1  163.00  -89.00        0.2403
 173   1  165.00  -89.00        0.2403
 174   1  167.00  -89.00        0.2403
 175   1  169.00  -89.00        0.2403
 176   1  171.00  -89.00        0.2403
 177   1  173.00  -89.00        0.2403
 178   1  175.00  -89.00        0.2403
 179   1  177.00  -89.00        0.2403
 180   1  179.00  -89.00        0.2403
   1   2 -179.00  -87.00        0.2403
   2   2 -177.00  -87.00        0.2403
   3   2 -175.00  -87.00        0.2403
   4   2 -173.00  -87.00        0.2403
   5   2 -171.00  -87.00        0.2403
   6   2 -169.00  -87.00        0.2403
   7   2 -167.00  -87.00        0.2403
   8   2 -165.00  -87.00        0.2403
   9   2 -163.00  -87.00        0.2403
  10   2 -161.00  -87.00        0.2403
  11   2 -159.00  -87.00        0.2403
  12   2 -157.00  -87.00        0.2403
  13   2 -155.00  -87.00        0.2403
  14   2 -153.00  -87.00        0.2403
  15   2 -151.00  -87.00        0.2403
  16   2 -149.00  -87.00        0.2403
  17   2 -147.00  -87.00        0.2403
  18   2 -145.00  -87.00        0.2403
  19   2 -143.00  -87.00        0.2403
  20   2 -141.00  -87.00        0.2403
  21   2 -139.00  -87.00        0.2403
  22   2 -137.00  -87.00        0.2403
  23   2 -135.00  -87.00        0.2403
  24   2 -133.00  -87.00        0.2403
  25   2 -131.00  -87.00        0.2403
  26   2 -129.00  -87.00        0.2403
  27   2 -127.00  -87.00        0.2403
  28   2 -125.00  -87.00        0.2403
  29   2 -123.00  -87.00        0.2403
  30   2 -121.00  -87.00        0.2403
  31   2 -119.00  -87.00        0.2403
  32   2 -117.00  -87.00        0.2403
  33   2 -115.00  -87.00        0.2403
  34   2 -113.00  -87.00        0.2403
  35   2 -111.00  -87.00        0.2403
  36   2 -109.00  -87.00        0.2403
  37   2 -107.00  -87.00        0.2403
  38   2 -105.00  -87.00        0.2403
  39   2 -103.00  -87.00        0.2403
  40   2 -101.00  -87.00        0.2403
  41   2  -99.00  -87.00        0.2403
  42   2  -97.00  -87.00        0.2403
  43   2  -95.00  -87.00        0.2403
  44   2  -93.00  -87.00        0.2403
  45   2  -91.00  -87.00        0.2403
  46   2  -89.00  -87.00        0.2403
  47   2  -87.00  -87.00        0.2403
  48   2  -85.00  -87.00        0.2403
  49   2  -83.00  -87.00        0.2403
  50   2  -81.00  -87.00        0.2403
  51   2  -79.00  -87.00        0.2403
  52   2  -77.00  -87.00        0.2403
  53   2  -75.00  -87.00        0.2403
  54   2  -73.00  -87.00        0.2403
  55   2  -71.00  -87.00        0.2403
  56   2  -69.00  -87.00        0.2403
  57   2  -67.00  -87.00        0.2403
  58   2  -65.00  -87.00        0.2403
  59   2  -63.00  -87.00        0.2403
  60   2  -61.00  -87.00        0.2403
  61   2  -59.00  -87.00        0.2403
  62   2  -57.00  -87.00        0.2403
  63   2  -55.00  -87.00        0.2403
  64   2  -53.00  -87.00        0.2403
  65   2  -51.00  -87.00        0.2403
  66   2  -49.00  -87.00        0.2403
  67   2  -47.00  -87.00        0.2403
  68   2  -45.00  -87.00        0.2403
  69   2  -43.00  -87.00        0.2403
  70   2  -41.00  -87.00        0.2403
  71   2  -39.00  -87.00        0.2403
  72   2  -37.00  -87.00        0.2403
  73   2  -35.00  -87.00        0.2403
  74   2  -33.00  -87.00        0.2403
  75   2  -31.00  -87.00        0.2403
  76   2  -29.00  -87.00        0.2403
  77   2  -27.00  -87.00        0.2403
  78   2  -25.00  -87.00        0.2403
  79   2  -23.00  -87.00        0.2403
  80   2  -21.00  -87.00        0.2403
  81   2  -19.00  -87.00        0.2403
  82   2  -17.00  -87.00        0.2403
  83   2  -15.00  -87.00        0.2403
  84   2  -13.00  -87.00        0.2403
  85   2  -11.00  -87.00        0.2403
  86   2   -9.00  -87.00        0.2403
  87   2   -7.00  -87.00        0.2403
  88   2   -5.00  -87.00        0.2403
  89   2   -3.00  -87.00        0.2403
  90   2   -1.00  -87.00        0.2403
  91   2    1.00  -87.00        0.2403
  92   2    3.00  -87.00        0.2403
  93   2    5.00  -87.00        0.2403
  94   2    7.00  -87.00        0.2403
  95   2    9.00  -87.00        0.2403
  96   2   11.00  -87.00        0.2403
  97   2   13.00  -87.00        0.2403
  98   2   15.00  -87.00        0.2403
  99   2   17.00  -87.00        0.2403
 100   2   19.00  -87.00        0.2403
 101   2   21.00  -87.00        0.2403
 102   2   23.00  -87.00        0.2403
 103   2   25.00  -87.00        0.2403
 104   2   27.00  -87.00        0.2403
 105   2   29.00  -87.00        0.2403
 106   2   31.00  -87.00        0.2403
 107   2   33.00  -87.00        0.2403
 108   2   35.00  -87.00        0.2403
 109   2   37.00  -87.00        0.2403
 110   2   39.00  -87.00        0.2403
 111   2   41.00  -87.00        0.2403
 112   2   43.00  -87.00        0.2403
 113   2   45.00  -87.00        0.2403
 114   2   47.00  -87.00        0.2403
 115   2   49.00  -87.00        0.2403
 116   2   51.00  -87.00        0.2403
 117   2   53.00  -87.00        0.2403
 118   2   55.00  -87.00        0.2403
 119   2   57.00  -87.00        0.2403
 120   2   59.00  -87.00        0.2403
 121   2   61.00  -87.00        0.2403
 122   2   63.00  -87.00        0.2403
 123   2   65.00  -87.00        0.2403
 124   2   67.00  -87.00        0.2403
 125   2   69.00  -87.00        0.2403
 126   2   71.00  -87.00        0.2403
 127   2   73.00  -87.00        0.2403
 128   2   75.00  -87.00        0.2403
 129   2   77.00  -87.00        0.2403
 130   2   79.00  -87.00        0.2403
 131   2   81.00  -87.00        0.2403
 132   2   83.00  -87.00        0.2403
 133   2   85.00  -87.00        0.2403
 134   2   87.00  -87.00        0.2403
 135   2   89.00  -87.00        0.2403
 136   2   91.00  -87.00        0.2403
 137   2   93.00  -87.00        0.2403
 138   2   95.00  -87.00        0.2403
 139   2   97.00  -87.00        0.2403
 140   2   99.00  -87.00        0.2403
 141   2  101.00  -87.00        0.2403
 142   2  103.00  -87.00        0.2403
 143   2  105.00  -87.00        0.2403
 144   2  107.00  -87.00        0.2403
 145   2  109.00  -87.00        0.2403
 146   2  111.00  -87.00        0.2403
 147   2  113.00  -87.00        0.2403
 148   2  115.00  -87.00        0.2403
 149   2  117.00  -87.00        0.2403
 150   2  119.00  -87.00        0.2403
 151   2  121.00  -87.00        0.2403
 152   2  123.00  -87.00        0.2403
 153   2  125.00  -87.00        0.2403
 154   2  127.00  -87.00        0.2403
 155   2  129.00  -87.00        0.2403
 156   2  131.00  -87.00        0.2403
 157   2  133.00  -87.00        0.2403
 158   2  135.00  -87.00        0.2403
 159   2  137.00  -87.00        0.2403
 160   2  139.00  -87.00        0.2403
 161   2  141.00  -87.00        0.2403
 162   2  143.00  -87.00        0.2403
 163   2  145.00  -87.00        0.2403
 164   2  147.00  -87.00        0.2403
 165   2  149.00  -87.00        0.2403
 166   2  151.00  -87.00        0.2403
 167   2  153.00  -87.00        0.2403
 168   2  155.00  -87.00        0.2403
 169   2  157.00  -87.00        0.2403
 170   2  159.00  -87.00        0.2403
 171   2  161.00  -87.00        0.2403
 172   2  163.00  -87.00        0.2403
 173   2  165.00  -87.00        0.2403
 174   2  167.00  -87.00        0.2403
 175   2  169.00  -87.00        0.2403
 176   2  171.00  -87.00        0.2403
 177   2  173.00  -87.00        0.2403
 178   2  175.00  -87.00        0.2403
 179   2  177.00  -87.00        0.2403
