___February_2026_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  66  11  -49.00  -69.00        1.0030
  67  11  -47.00  -69.00        1.0030
  68  11  -45.00  -69.00        0.8297
  69  11  -43.00  -69.00        0.6564
  70  11  -41.00  -69.00        0.6564
  71  11  -39.00  -69.00        0.6564
  72  11  -37.00  -69.00        0.6564
  73  11  -35.00  -69.00        0.0962
  74  11  -33.00  -69.00        0.0962
  75  11  -31.00  -69.00        0.0962
  76  11  -29.00  -69.00        0.0962
  77  11  -27.00  -69.00       -0.0101
  78  11  -25.00  -69.00       -0.1164
  79  11  -23.00  -69.00       -0.1164
  80  11  -21.00  -69.00       -0.1164
  81  11  -19.00  -69.00       -0.1164
  82  11  -17.00  -69.00        0.0433
  83  11  -15.00  -69.00        0.0433
  84  11  -13.00  -69.00        0.0433
  85  11  -11.00  -69.00        0.0433
  86  11   -9.00  -69.00       -0.0288
  87  11   -7.00  -69.00       -0.1009
  88  11   -5.00  -69.00       -0.1009
  89  11   -3.00  -69.00       -0.1009
  90  11   -1.00  -69.00       -0.1009
  91  11    1.00  -69.00       -0.3033
  92  11    3.00  -69.00       -0.3033
  93  11    5.00  -69.00       -0.3033
  94  11    7.00  -69.00       -0.3033
  95  11    9.00  -69.00       -0.4371
  96  11   11.00  -69.00       -0.5709
  97  11   13.00  -69.00       -0.5709
  98  11   15.00  -69.00       -0.5709
  99  11   17.00  -69.00       -0.5709
 100  11   19.00  -69.00       -0.4493
 101  11   21.00  -69.00       -0.4493
 102  11   23.00  -69.00       -0.4493
 103  11   25.00  -69.00       -0.4493
 104  11   27.00  -69.00       -0.2821
 105  11   29.00  -69.00       -0.1149
 106  11   31.00  -69.00       -0.1149
 107  11   33.00  -69.00       -0.1149
 108  11   35.00  -69.00       -0.1149
 109  11   37.00  -69.00       -0.0542
 110  11   39.00  -69.00       -0.0542
 111  11   41.00  -69.00       -0.0542
 112  11   43.00  -69.00       -0.0542
 113  11   45.00  -69.00       -0.1420
 114  11   47.00  -69.00       -0.2298
 115  11   49.00  -69.00       -0.2298
 116  11   51.00  -69.00       -0.2298
 117  11   53.00  -69.00       -0.2298
 118  11   55.00  -69.00       -0.4223
 119  11   57.00  -69.00       -0.4223
 120  11   59.00  -69.00       -0.4223
 121  11   61.00  -69.00       -0.4223
 122  11   63.00  -69.00       -0.4997
 123  11   65.00  -69.00       -0.5771
 124  11   67.00  -69.00       -0.5771
 125  11   69.00  -69.00       -0.5771
 126  11   71.00  -69.00       -0.5771
 127  11   73.00  -69.00       -0.6648
 128  11   75.00  -69.00       -0.6648
 129  11   77.00  -69.00       -0.6648
 130  11   79.00  -69.00       -0.6648
 131  11   81.00  -69.00       -0.6269
 132  11   83.00  -69.00       -0.5891
 133  11   85.00  -69.00       -0.5891
 134  11   87.00  -69.00       -0.5891
 135  11   89.00  -69.00       -0.5891
 136  11   91.00  -69.00       -0.2801
 137  11   93.00  -69.00       -0.2801
 138  11   95.00  -69.00       -0.2801
 139  11   97.00  -69.00       -0.2801
 140  11   99.00  -69.00        0.1412
 141  11  101.00  -69.00        0.5625
 142  11  103.00  -69.00        0.5625
 143  11  105.00  -69.00        0.5625
 144  11  107.00  -69.00        0.5625
 145  11  109.00  -69.00        1.6496
 146  11  111.00  -69.00        1.6496
 147  11  113.00  -69.00        1.6496
 148  11  115.00  -69.00        1.6496
 149  11  117.00  -69.00        2.1650
 150  11  119.00  -69.00        2.6804
 151  11  121.00  -69.00        2.6804
 152  11  123.00  -69.00        2.6804
 153  11  125.00  -69.00        2.6804
 154  11  127.00  -69.00        2.9535
 155  11  129.00  -69.00        2.9535
 156  11  131.00  -69.00        2.9535
 157  11  133.00  -69.00        2.9535
 158  11  135.00  -69.00        3.0288
 159  11  137.00  -69.00        3.1042
 160  11  139.00  -69.00        3.1042
 161  11  141.00  -69.00        3.1042
 162  11  143.00  -69.00        3.1042
 163  11  145.00  -69.00        3.1199
 164  11  147.00  -69.00        3.1199
 165  11  149.00  -69.00        3.1199
 166  11  151.00  -69.00        3.1199
 167  11  153.00  -69.00        3.1815
 168  11  155.00  -69.00        3.2431
 169  11  157.00  -69.00        3.2431
 170  11  159.00  -69.00        3.2431
 171  11  161.00  -69.00        3.2431
 172  11  163.00  -69.00        3.4579
 173  11  165.00  -69.00        3.4579
 174  11  167.00  -69.00        3.4579
 175  11  169.00  -69.00        3.4579
 176  11  171.00  -69.00        3.4521
 177  11  173.00  -69.00        3.4464
 178  11  175.00  -69.00        3.4464
 179  11  177.00  -69.00        3.4464
 180  11  179.00  -69.00        3.4464
   1  12 -179.00  -67.00        0.2120
   2  12 -177.00  -67.00        0.2120
   3  12 -175.00  -67.00        0.2120
   4  12 -173.00  -67.00        0.2120
   5  12 -171.00  -67.00        0.1823
   6  12 -169.00  -67.00        0.1196
   7  12 -167.00  -67.00        0.1196
   8  12 -165.00  -67.00        0.1196
   9  12 -163.00  -67.00        0.1196
  10  12 -161.00  -67.00        0.0591
  11  12 -159.00  -67.00        0.0591
  12  12 -157.00  -67.00        0.0591
  13  12 -155.00  -67.00        0.0591
  14  12 -153.00  -67.00        0.0029
  15  12 -151.00  -67.00       -0.0533
  16  12 -149.00  -67.00       -0.0533
  17  12 -147.00  -67.00       -0.0533
  18  12 -145.00  -67.00       -0.0533
  19  12 -143.00  -67.00       -0.0645
  20  12 -141.00  -67.00       -0.0645
  21  12 -139.00  -67.00       -0.0645
  22  12 -137.00  -67.00       -0.0645
  23  12 -135.00  -67.00       -0.0645
  24  12 -133.00  -67.00     9999.0000
  25  12 -131.00  -67.00     9999.0000
  26  12 -129.00  -67.00     9999.0000
  27  12 -127.00  -67.00     9999.0000
  28  12 -125.00  -67.00       -0.0035
  29  12 -123.00  -67.00       -0.0035
  30  12 -121.00  -67.00       -0.0035
  31  12 -119.00  -67.00       -0.0035
  32  12 -117.00  -67.00        0.1916
  33  12 -115.00  -67.00        0.2840
  34  12 -113.00  -67.00        0.2840
  35  12 -111.00  -67.00        0.2840
  36  12 -109.00  -67.00        0.2840
  37  12 -107.00  -67.00        0.4731
  38  12 -105.00  -67.00        0.4731
  39  12 -103.00  -67.00        0.4731
  40  12 -101.00  -67.00        0.4731
  41  12  -99.00  -67.00        0.5197
  42  12  -97.00  -67.00        0.5663
  43  12  -95.00  -67.00        0.5663
  44  12  -93.00  -67.00        0.5663
  45  12  -91.00  -67.00        0.5663
  46  12  -89.00  -67.00        0.5582
  47  12  -87.00  -67.00        0.5582
  48  12  -85.00  -67.00        0.5582
  49  12  -83.00  -67.00        0.5582
  50  12  -81.00  -67.00        0.7211
  51  12  -79.00  -67.00        0.8841
  52  12  -77.00  -67.00        0.8841
  53  12  -75.00  -67.00        0.8841
  54  12  -73.00  -67.00        0.8841
  55  12  -71.00  -67.00        0.7566
  56  12  -69.00  -67.00        0.7566
  57  12  -67.00  -67.00        0.7566
  58  12  -65.00  -67.00        0.7566
  59  12  -63.00  -67.00        0.9265
  60  12  -61.00  -67.00        1.0964
  61  12  -59.00  -67.00        1.0964
  62  12  -57.00  -67.00        1.0964
  63  12  -55.00  -67.00        1.0964
  64  12  -53.00  -67.00        0.9603
  65  12  -51.00  -67.00        0.9603
  66  12  -49.00  -67.00        0.9603
  67  12  -47.00  -67.00        0.9603
  68  12  -45.00  -67.00        0.8037
  69  12  -43.00  -67.00        0.6471
  70  12  -41.00  -67.00        0.6471
  71  12  -39.00  -67.00        0.6471
  72  12  -37.00  -67.00        0.6471
  73  12  -35.00  -67.00        0.1977
  74  12  -33.00  -67.00        0.1977
  75  12  -31.00  -67.00        0.1977
  76  12  -29.00  -67.00        0.1977
  77  12  -27.00  -67.00        0.2402
  78  12  -25.00  -67.00        0.2827
  79  12  -23.00  -67.00        0.2827
  80  12  -21.00  -67.00        0.2827
  81  12  -19.00  -67.00        0.2827
  82  12  -17.00  -67.00        0.3205
  83  12  -15.00  -67.00        0.3205
  84  12  -13.00  -67.00        0.3205
  85  12  -11.00  -67.00        0.3205
  86  12   -9.00  -67.00        0.1600
  87  12   -7.00  -67.00       -0.0005
  88  12   -5.00  -67.00       -0.0005
  89  12   -3.00  -67.00       -0.0005
  90  12   -1.00  -67.00       -0.0005
  91  12    1.00  -67.00       -0.0057
  92  12    3.00  -67.00       -0.0057
  93  12    5.00  -67.00       -0.0057
  94  12    7.00  -67.00       -0.0057
  95  12    9.00  -67.00       -0.1621
  96  12   11.00  -67.00       -0.3184
  97  12   13.00  -67.00       -0.3184
  98  12   15.00  -67.00       -0.3184
  99  12   17.00  -67.00       -0.3184
 100  12   19.00  -67.00       -0.1392
 101  12   21.00  -67.00       -0.1392
 102  12   23.00  -67.00       -0.1392
 103  12   25.00  -67.00       -0.1392
 104  12   27.00  -67.00       -0.0354
 105  12   29.00  -67.00        0.0683
 106  12   31.00  -67.00        0.0683
 107  12   33.00  -67.00        0.0683
 108  12   35.00  -67.00        0.0683
 109  12   37.00  -67.00        0.0773
 110  12   39.00  -67.00        0.0773
 111  12   41.00  -67.00        0.0773
 112  12   43.00  -67.00        0.0773
 113  12   45.00  -67.00       -0.0541
 114  12   47.00  -67.00       -0.1856
 115  12   49.00  -67.00       -0.1856
 116  12   51.00  -67.00       -0.1856
 117  12   53.00  -67.00       -0.1856
 118  12   55.00  -67.00       -0.4304
 119  12   57.00  -67.00       -0.4304
 120  12   59.00  -67.00       -0.4304
 121  12   61.00  -67.00       -0.4304
 122  12   63.00  -67.00       -0.3317
 123  12   65.00  -67.00       -0.2329
 124  12   67.00  -67.00       -0.2329
 125  12   69.00  -67.00       -0.2329
 126  12   71.00  -67.00       -0.2329
 127  12   73.00  -67.00       -0.6650
 128  12   75.00  -67.00       -0.6650
 129  12   77.00  -67.00       -0.6650
 130  12   79.00  -67.00       -0.6650
 131  12   81.00  -67.00       -0.6242
 132  12   83.00  -67.00       -0.5834
 133  12   85.00  -67.00       -0.5834
 134  12   87.00  -67.00       -0.5834
 135  12   89.00  -67.00       -0.5834
 136  12   91.00  -67.00       -0.3132
 137  12   93.00  -67.00       -0.3132
 138  12   95.00  -67.00       -0.3132
 139  12   97.00  -67.00       -0.3132
 140  12   99.00  -67.00        0.0402
 141  12  101.00  -67.00        0.3937
 142  12  103.00  -67.00        0.3937
 143  12  105.00  -67.00        0.3937
 144  12  107.00  -67.00        0.3937
 145  12  109.00  -67.00        1.3166
 146  12  111.00  -67.00        1.3166
 147  12  113.00  -67.00        1.3166
 148  12  115.00  -67.00        1.3166
 149  12  117.00  -67.00        1.9271
 150  12  119.00  -67.00        2.5377
 151  12  121.00  -67.00        2.5377
 152  12  123.00  -67.00        2.5377
 153  12  125.00  -67.00        2.5377
 154  12  127.00  -67.00        2.8314
 155  12  129.00  -67.00        2.8314
 156  12  131.00  -67.00        2.8314
 157  12  133.00  -67.00        2.8314
 158  12  135.00  -67.00        2.8742
 159  12  137.00  -67.00        2.9171
 160  12  139.00  -67.00        2.9171
 161  12  141.00  -67.00        2.9171
 162  12  143.00  -67.00        2.9171
 163  12  145.00  -67.00        2.9927
 164  12  147.00  -67.00        2.9927
 165  12  149.00  -67.00        2.9927
 166  12  151.00  -67.00        2.9927
 167  12  153.00  -67.00        3.0987
 168  12  155.00  -67.00        3.2047
 169  12  157.00  -67.00        3.2047
 170  12  159.00  -67.00        3.2047
 171  12  161.00  -67.00        3.2047
 172  12  163.00  -67.00        3.6159
 173  12  165.00  -67.00        3.6159
 174  12  167.00  -67.00        3.6159
 175  12  169.00  -67.00        3.6159
 176  12  171.00  -67.00        2.8099
 177  12  173.00  -67.00        2.0039
 178  12  175.00  -67.00        2.0039
 179  12  177.00  -67.00        2.0039
 180  12  179.00  -67.00        2.0039
   1  13 -179.00  -65.00        0.4109
   2  13 -177.00  -65.00        0.4109
   3  13 -175.00  -65.00        0.4017
   4  13 -173.00  -65.00        0.3986
   5  13 -171.00  -65.00        0.3119
   6  13 -169.00  -65.00        0.2252
   7  13 -167.00  -65.00        0.2233
   8  13 -165.00  -65.00        0.2177
   9  13 -163.00  -65.00        0.2177
  10  13 -161.00  -65.00        0.1501
  11  13 -159.00  -65.00        0.1501
  12  13 -157.00  -65.00        0.1520
  13  13 -155.00  -65.00        0.1526
  14  13 -153.00  -65.00        0.1236
  15  13 -151.00  -65.00        0.0945
  16  13 -149.00  -65.00        0.0950
  17  13 -147.00  -65.00        0.0967
  18  13 -145.00  -65.00        0.0967
  19  13 -143.00  -65.00        0.0526
  20  13 -141.00  -65.00        0.0526
  21  13 -139.00  -65.00        0.0483
  22  13 -137.00  -65.00        0.0469
  23  13 -135.00  -65.00        0.0820
  24  13 -133.00  -65.00        0.1272
  25  13 -131.00  -65.00        0.1259
  26  13 -129.00  -65.00        0.1222
  27  13 -127.00  -65.00        0.1222
  28  13 -125.00  -65.00       -0.2093
  29  13 -123.00  -65.00       -0.2093
  30  13 -121.00  -65.00       -0.1710
  31  13 -119.00  -65.00       -0.1582
  32  13 -117.00  -65.00        0.0829
  33  13 -115.00  -65.00        0.3239
  34  13 -113.00  -65.00        0.3275
  35  13 -111.00  -65.00        0.3384
  36  13 -109.00  -65.00        0.3384
  37  13 -107.00  -65.00        0.5188
  38  13 -105.00  -65.00        0.5188
  39  13 -103.00  -65.00        0.5214
  40  13 -101.00  -65.00        0.5223
  41  13  -99.00  -65.00        0.5673
  42  13  -97.00  -65.00        0.6122
  43  13  -95.00  -65.00        0.6144
  44  13  -93.00  -65.00        0.6210
  45  13  -91.00  -65.00        0.6210
  46  13  -89.00  -65.00        0.5337
  47  13  -87.00  -65.00        0.5337
  48  13  -85.00  -65.00        0.5206
  49  13  -83.00  -65.00        0.5162
  50  13  -81.00  -65.00        0.4645
  51  13  -79.00  -65.00        0.4129
  52  13  -77.00  -65.00        0.4134
  53  13  -75.00  -65.00        0.4148
  54  13  -73.00  -65.00        0.4148
  55  13  -71.00  -65.00        0.2809
  56  13  -69.00  -65.00        0.2809
  57  13  -67.00  -65.00        0.2752
  58  13  -65.00  -65.00        0.2733
  59  13  -63.00  -65.00        0.6547
  60  13  -61.00  -65.00        1.0360
  61  13  -59.00  -65.00        1.0341
  62  13  -57.00  -65.00        1.0283
  63  13  -55.00  -65.00        1.0283
  64  13  -53.00  -65.00        0.8913
  65  13  -51.00  -65.00        0.8913
  66  13  -49.00  -65.00        0.8781
  67  13  -47.00  -65.00        0.8738
  68  13  -45.00  -65.00        0.7392
  69  13  -43.00  -65.00        0.6047
  70  13  -41.00  -65.00        0.5996
  71  13  -39.00  -65.00        0.5843
  72  13  -37.00  -65.00        0.5843
  73  13  -35.00  -65.00       -0.0806
  74  13  -33.00  -65.00       -0.0806
  75  13  -31.00  -65.00       -0.0790
  76  13  -29.00  -65.00       -0.0784
  77  13  -27.00  -65.00        0.1779
  78  13  -25.00  -65.00        0.4343
  79  13  -23.00  -65.00        0.4314
  80  13  -21.00  -65.00        0.4228
  81  13  -19.00  -65.00        0.4228
  82  13  -17.00  -65.00        0.4643
  83  13  -15.00  -65.00        0.4643
  84  13  -13.00  -65.00        0.4648
  85  13  -11.00  -65.00        0.4649
  86  13   -9.00  -65.00        0.2953
  87  13   -7.00  -65.00        0.1257
  88  13   -5.00  -65.00        0.1244
  89  13   -3.00  -65.00        0.1206
  90  13   -1.00  -65.00        0.1206
  91  13    1.00  -65.00        0.0754
  92  13    3.00  -65.00        0.0754
  93  13    5.00  -65.00        0.0771
  94  13    7.00  -65.00        0.0777
  95  13    9.00  -65.00        0.0689
  96  13   11.00  -65.00        0.0600
  97  13   13.00  -65.00        0.0597
  98  13   15.00  -65.00        0.0586
  99  13   17.00  -65.00        0.0586
 100  13   19.00  -65.00        0.1292
 101  13   21.00  -65.00        0.1292
 102  13   23.00  -65.00        0.1297
 103  13   25.00  -65.00        0.1298
 104  13   27.00  -65.00        0.1618
 105  13   29.00  -65.00        0.1938
 106  13   31.00  -65.00        0.1939
 107  13   33.00  -65.00        0.1944
 108  13   35.00  -65.00        0.1944
 109  13   37.00  -65.00        0.1829
 110  13   39.00  -65.00        0.1829
 111  13   41.00  -65.00        0.1803
 112  13   43.00  -65.00        0.1794
 113  13   45.00  -65.00        0.1443
 114  13   47.00  -65.00        0.1091
 115  13   49.00  -65.00        0.1102
 116  13   51.00  -65.00        0.1136
 117  13   53.00  -65.00        0.1136
 118  13   55.00  -65.00        0.0812
 119  13   57.00  -65.00        0.0812
 120  13   59.00  -65.00        0.0811
 121  13   61.00  -65.00        0.0811
 122  13   63.00  -65.00        0.1412
 123  13   65.00  -65.00        0.2014
 124  13   67.00  -65.00        0.1775
 125  13   69.00  -65.00        0.1057
 126  13   71.00  -65.00        0.1057
 127  13   73.00  -65.00        0.0466
 128  13   75.00  -65.00        0.0466
 129  13   77.00  -65.00        0.0483
 130  13   79.00  -65.00        0.0488
 131  13   81.00  -65.00       -0.1989
 132  13   83.00  -65.00       -0.4466
 133  13   85.00  -65.00       -0.4448
 134  13   87.00  -65.00       -0.4395
 135  13   89.00  -65.00       -0.4395
 136  13   91.00  -65.00       -0.1625
 137  13   93.00  -65.00       -0.1625
 138  13   95.00  -65.00       -0.1585
 139  13   97.00  -65.00       -0.1571
 140  13   99.00  -65.00        0.1197
 141  13  101.00  -65.00        0.3965
 142  13  103.00  -65.00        0.3962
 143  13  105.00  -65.00        0.3952
 144  13  107.00  -65.00        0.3952
 145  13  109.00  -65.00        0.5925
 146  13  111.00  -65.00        0.5925
 147  13  113.00  -65.00        0.5982
 148  13  115.00  -65.00        0.6001
 149  13  117.00  -65.00        0.8032
 150  13  119.00  -65.00        1.0062
 151  13  121.00  -65.00        1.0075
 152  13  123.00  -65.00        1.0114
 153  13  125.00  -65.00        1.0114
 154  13  127.00  -65.00        1.1561
 155  13  129.00  -65.00        1.1561
 156  13  131.00  -65.00        1.1622
 157  13  133.00  -65.00        1.1642
 158  13  135.00  -65.00        1.1329
 159  13  137.00  -65.00        1.1017
 160  13  139.00  -65.00        1.1004
 161  13  141.00  -65.00        1.0965
 162  13  143.00  -65.00        1.0965
 163  13  145.00  -65.00        0.9089
 164  13  147.00  -65.00        0.9089
 165  13  149.00  -65.00        0.8818
 166  13  151.00  -65.00        0.8727
 167  13  153.00  -65.00        1.8119
 168  13  155.00  -65.00        2.7512
 169  13  157.00  -65.00        2.7553
 170  13  159.00  -65.00        2.7677
 171  13  161.00  -65.00        2.7677
 172  13  163.00  -65.00        1.0452
 173  13  165.00  -65.00        1.0452
 174  13  167.00  -65.00        1.0519
 175  13  169.00  -65.00        1.0541
 176  13  171.00  -65.00        0.7300
 177  13  173.00  -65.00        0.4059
 178  13  175.00  -65.00        0.4112
 179  13  177.00  -65.00        0.4272
 180  13  179.00  -65.00        0.4272
   1  14 -179.00  -63.00        0.6238
   2  14 -177.00  -63.00        0.6238
   3  14 -175.00  -63.00        0.5624
   4  14 -173.00  -63.00        0.5419
   5  14 -171.00  -63.00        0.4741
   6  14 -169.00  -63.00        0.4064
   7  14 -167.00  -63.00        0.3940
   8  14 -165.00  -63.00        0.3569
   9  14 -163.00  -63.00        0.3569
  10  14 -161.00  -63.00        0.2711
  11  14 -159.00  -63.00        0.2711
  12  14 -157.00  -63.00        0.2837
  13  14 -155.00  -63.00        0.2879
  14  14 -153.00  -63.00        0.2857
  15  14 -151.00  -63.00        0.2834
  16  14 -149.00  -63.00        0.2870
  17  14 -147.00  -63.00        0.2979
  18  14 -145.00  -63.00        0.2979
  19  14 -143.00  -63.00        0.2277
  20  14 -141.00  -63.00        0.2277
  21  14 -139.00  -63.00        0.1993
  22  14 -137.00  -63.00        0.1898
  23  14 -135.00  -63.00        0.1976
  24  14 -133.00  -63.00        0.2054
  25  14 -131.00  -63.00        0.1989
  26  14 -129.00  -63.00        0.1797
  27  14 -127.00  -63.00        0.1797
  28  14 -125.00  -63.00       -0.2375
  29  14 -123.00  -63.00       -0.2375
  30  14 -121.00  -63.00        0.0162
  31  14 -119.00  -63.00        0.1008
  32  14 -117.00  -63.00        0.2160
  33  14 -115.00  -63.00        0.3312
  34  14 -113.00  -63.00        0.3552
  35  14 -111.00  -63.00        0.4272
  36  14 -109.00  -63.00        0.4272
  37  14 -107.00  -63.00        0.4809
  38  14 -105.00  -63.00        0.4809
  39  14 -103.00  -63.00        0.4987
  40  14 -101.00  -63.00        0.5046
  41  14  -99.00  -63.00        0.5392
  42  14  -97.00  -63.00        0.5738
  43  14  -95.00  -63.00        0.5883
  44  14  -93.00  -63.00        0.6319
  45  14  -91.00  -63.00        0.6319
  46  14  -89.00  -63.00        0.5307
  47  14  -87.00  -63.00        0.5307
  48  14  -85.00  -63.00        0.4434
  49  14  -83.00  -63.00        0.4144
  50  14  -81.00  -63.00        0.4028
  51  14  -79.00  -63.00        0.3913
  52  14  -77.00  -63.00        0.3944
  53  14  -75.00  -63.00        0.4039
  54  14  -73.00  -63.00        0.4039
  55  14  -71.00  -63.00        0.4007
  56  14  -69.00  -63.00        0.4007
  57  14  -67.00  -63.00        0.3632
  58  14  -65.00  -63.00        0.3507
  59  14  -63.00  -63.00        0.6693
  60  14  -61.00  -63.00        0.9880
  61  14  -59.00  -63.00        0.9753
  62  14  -57.00  -63.00        0.9372
  63  14  -55.00  -63.00        0.9372
  64  14  -53.00  -63.00        0.8597
  65  14  -51.00  -63.00        0.8597
  66  14  -49.00  -63.00        0.7727
  67  14  -47.00  -63.00        0.7437
  68  14  -45.00  -63.00        0.6815
  69  14  -43.00  -63.00        0.6193
  70  14  -41.00  -63.00        0.5857
  71  14  -39.00  -63.00        0.4848
  72  14  -37.00  -63.00        0.4848
  73  14  -35.00  -63.00        0.2534
  74  14  -33.00  -63.00        0.2534
  75  14  -31.00  -63.00        0.2639
  76  14  -29.00  -63.00        0.2674
  77  14  -27.00  -63.00        0.2738
  78  14  -25.00  -63.00        0.2803
  79  14  -23.00  -63.00        0.2614
  80  14  -21.00  -63.00        0.2045
  81  14  -19.00  -63.00        0.2045
  82  14  -17.00  -63.00        0.2565
  83  14  -15.00  -63.00        0.2565
  84  14  -13.00  -63.00        0.2594
  85  14  -11.00  -63.00        0.2604
  86  14   -9.00  -63.00        0.2327
  87  14   -7.00  -63.00        0.2050
  88  14   -5.00  -63.00        0.1967
  89  14   -3.00  -63.00        0.1718
  90  14   -1.00  -63.00        0.1718
  91  14    1.00  -63.00        0.1940
  92  14    3.00  -63.00        0.1940
  93  14    5.00  -63.00        0.2053
  94  14    7.00  -63.00        0.2091
  95  14    9.00  -63.00        0.1836
  96  14   11.00  -63.00        0.1581
  97  14   13.00  -63.00        0.1558
  98  14   15.00  -63.00        0.1490
  99  14   17.00  -63.00        0.1490
 100  14   19.00  -63.00        0.1532
 101  14   21.00  -63.00        0.1532
 102  14   23.00  -63.00        0.1563
 103  14   25.00  -63.00        0.1573
 104  14   27.00  -63.00        0.1693
 105  14   29.00  -63.00        0.1813
 106  14   31.00  -63.00        0.1823
 107  14   33.00  -63.00        0.1855
 108  14   35.00  -63.00        0.1855
 109  14   37.00  -63.00        0.1907
 110  14   39.00  -63.00        0.1907
 111  14   41.00  -63.00        0.1736
 112  14   43.00  -63.00        0.1679
 113  14   45.00  -63.00        0.1723
 114  14   47.00  -63.00        0.1768
 115  14   49.00  -63.00        0.1841
 116  14   51.00  -63.00        0.2062
 117  14   53.00  -63.00        0.2062
 118  14   55.00  -63.00        0.2461
 119  14   57.00  -63.00        0.2461
 120  14   59.00  -63.00        0.2455
 121  14   61.00  -63.00        0.2453
 122  14   63.00  -63.00        0.1775
 123  14   65.00  -63.00        0.1098
 124  14   67.00  -63.00       -0.0486
 125  14   69.00  -63.00       -0.5236
 126  14   71.00  -63.00       -0.5236
 127  14   73.00  -63.00        0.2948
 128  14   75.00  -63.00        0.2948
 129  14   77.00  -63.00        0.3060
 130  14   79.00  -63.00        0.3098
 131  14   81.00  -63.00        0.3377
 132  14   83.00  -63.00        0.3657
 133  14   85.00  -63.00        0.3774
 134  14   87.00  -63.00        0.4128
 135  14   89.00  -63.00        0.4128
 136  14   91.00  -63.00        0.4435
 137  14   93.00  -63.00        0.4435
 138  14   95.00  -63.00        0.4705
 139  14   97.00  -63.00        0.4795
 140  14   99.00  -63.00        0.4667
 141  14  101.00  -63.00        0.4540
 142  14  103.00  -63.00        0.4517
 143  14  105.00  -63.00        0.4450
 144  14  107.00  -63.00        0.4450
 145  14  109.00  -63.00        0.4471
 146  14  111.00  -63.00        0.4471
 147  14  113.00  -63.00        0.4849
 148  14  115.00  -63.00        0.4974
 149  14  117.00  -63.00        0.5622
 150  14  119.00  -63.00        0.6270
 151  14  121.00  -63.00        0.6355
 152  14  123.00  -63.00        0.6613
 153  14  125.00  -63.00        0.6613
 154  14  127.00  -63.00        0.7134
 155  14  129.00  -63.00        0.7134
 156  14  131.00  -63.00        0.7539
 157  14  133.00  -63.00        0.7674
 158  14  135.00  -63.00        0.7456
 159  14  137.00  -63.00        0.7237
 160  14  139.00  -63.00        0.7152
 161  14  141.00  -63.00        0.6895
 162  14  143.00  -63.00        0.6895
 163  14  145.00  -63.00        0.5615
 164  14  147.00  -63.00        0.5615
 165  14  149.00  -63.00        0.3821
 166  14  151.00  -63.00        0.3223
 167  14  153.00  -63.00        0.2918
 168  14  155.00  -63.00        0.2613
 169  14  157.00  -63.00        0.2887
 170  14  159.00  -63.00        0.3709
 171  14  161.00  -63.00        0.3709
 172  14  163.00  -63.00        0.3351
 173  14  165.00  -63.00        0.3351
 174  14  167.00  -63.00        0.3790
 175  14  169.00  -63.00        0.3936
 176  14  171.00  -63.00        0.4444
 177  14  173.00  -63.00        0.4951
 178  14  175.00  -63.00        0.5304
 179  14  177.00  -63.00        0.6362
 180  14  179.00  -63.00        0.6362
   1  15 -179.00  -61.00        0.7588
   2  15 -177.00  -61.00        0.7588
   3  15 -175.00  -61.00        0.7217
   4  15 -173.00  -61.00        0.7094
   5  15 -171.00  -61.00        0.6622
   6  15 -169.00  -61.00        0.6151
   7  15 -167.00  -61.00        0.5932
   8  15 -165.00  -61.00        0.5273
   9  15 -163.00  -61.00        0.5273
  10  15 -161.00  -61.00        0.3929
  11  15 -159.00  -61.00        0.3929
  12  15 -157.00  -61.00        0.3905
  13  15 -155.00  -61.00        0.3897
  14  15 -153.00  -61.00        0.4056
  15  15 -151.00  -61.00        0.4216
  16  15 -149.00  -61.00        0.4310
  17  15 -147.00  -61.00        0.4594
  18  15 -145.00  -61.00        0.4594
  19  15 -143.00  -61.00        0.3904
  20  15 -141.00  -61.00        0.3904
  21  15 -139.00  -61.00        0.3467
  22  15 -137.00  -61.00        0.3322
  23  15 -135.00  -61.00        0.3306
  24  15 -133.00  -61.00        0.3291
  25  15 -131.00  -61.00        0.3120
  26  15 -129.00  -61.00        0.2606
  27  15 -127.00  -61.00        0.2606
  28  15 -125.00  -61.00        0.1540
  29  15 -123.00  -61.00        0.1540
  30  15 -121.00  -61.00        0.2295
  31  15 -119.00  -61.00        0.2546
  32  15 -117.00  -61.00        0.3117
  33  15 -115.00  -61.00        0.3689
  34  15 -113.00  -61.00        0.3892
  35  15 -111.00  -61.00        0.4503
  36  15 -109.00  -61.00        0.4503
  37  15 -107.00  -61.00        0.4376
  38  15 -105.00  -61.00        0.4376
  39  15 -103.00  -61.00        0.4553
  40  15 -101.00  -61.00        0.4612
  41  15  -99.00  -61.00        0.4865
  42  15  -97.00  -61.00        0.5118
  43  15  -95.00  -61.00        0.5217
  44  15  -93.00  -61.00        0.5516
  45  15  -91.00  -61.00        0.5516
  46  15  -89.00  -61.00        0.4315
  47  15  -87.00  -61.00        0.4315
  48  15  -85.00  -61.00        0.3529
  49  15  -83.00  -61.00        0.3267
  50  15  -81.00  -61.00        0.3228
  51  15  -79.00  -61.00        0.3189
  52  15  -77.00  -61.00        0.3255
  53  15  -75.00  -61.00        0.3454
