year,extent_million_km2
1979,3.16
1980,3.12
1981,2.62
1982,2.92
1983,3.08
1984,2.93
1985,3.02
1986,3.35
1987,2.99
1988,3.31
1989,2.95
1990,2.83
1991,3.13
1992,3.14
1993,2.72
1994,2.82
1995,3.22
1996,2.68
1997,3.01
1998,2.97
1999,3.01
2000,3.27
2001,2.89
2002,2.84
2003,2.96
2004,3.04
2005,2.89
2006,2.97
2007,2.88
2008,3.2
2009,2.71
2010,2.94
2011,2.85
2012,3.18
2013,3.1
2014,2.99
2015,3.25
2016,2.55
2017,2.11
2018,2.49
2019,2.6
2020,2.69
2021,3
2022,1.92
2023,1.79
2024,2.16
2025,2.12
